Timestamp,Email,Age Group,Category,Budget,Interests
2026-05-19 09:11:48,gsalunke038@gmail.com,18-24,fruits,low,fruits
2026-05-19 09:11:57,gsalunke038@gmail.com,18-24,fruits,low,fruits
2026-05-19 09:12:06,gsalunke038@gmail.com,18-24,fruits,low,fruits
2026-05-19 09:12:17,gsalunke038@gmail.com,18-24,fruits,low,fruits
2026-05-19 09:14:09,gauravsalunkee@gmail.com,18-24,fruits,low,fruits
2026-05-19 12:44:02,gaurav@gmail.com,18-24,dairy,medium,farm eggs
2026-05-19 12:44:10,gaurav@gmail.com,18-24,dairy,medium,farm eggs
2026-05-21 13:44:14,gssss@gmail.com,18-24,snacks,medium,Maggie
2026-05-21 13:44:16,gssss@gmail.com,18-24,snacks,medium,Maggie
2026-05-21 13:44:26,gssss@gmail.com,18-24,snacks,medium,Maggie
2026-05-21 13:44:42,gssss@gmail.com,18-24,snacks,medium,Maggie
2026-05-21 13:45:15,gssss@gmail.com,18-24,snacks,medium,Maggie
2026-05-21 13:49:09,apura@gmail.com,18-24,fruits,low,noodles
2026-05-21 13:49:17,apura@gmail.com,18-24,fruits,low,noodles
2026-05-21 13:49:24,apura@gmail.com,18-24,fruits,low,noodles
2026-05-21 13:49:50,apura@gmail.com,18-24,fruits,low,noodles
2026-05-21 13:50:05,apura@gmail.com,18-24,fruits,low,noodles
2026-05-21 13:55:32,susru@gmail.com,18-24,fruits,low,chinese
2026-05-21 13:55:37,susru@gmail.com,18-24,fruits,low,chinese
2026-05-21 13:55:42,susru@gmail.com,18-24,fruits,low,chinese
2026-05-21 13:57:52,g@gmail.com,18-24,fruits,low,chinese
2026-05-21 13:57:53,g@gmail.com,18-24,fruits,low,chinese
2026-05-21 14:00:46,gauravvv@gmail.com,18-24,fruits,low,shop
2026-05-21 14:00:51,gauravvv@gmail.com,18-24,fruits,low,shop
2026-05-21 14:03:06,gsal@gmail.com,18-24,fruits,low,shop
2026-05-21 14:03:21,gsal@gmail.com,18-24,fruits,low,shop
2026-05-21 14:03:27,gsal@gmail.com,18-24,fruits,low,shop
2026-05-21 14:06:24,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:06:26,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:09:08,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:09:13,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:09:17,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:09:58,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:09:59,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:00,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:02,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:06,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:10,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:11,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:12,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:12,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:12,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:13,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:13,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:13,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:13,hi@gmail.com,18-24,fruits,low,
2026-05-21 14:10:13,hi@gmail.com,18-24,fruits,low,
